rating,review
3,"Why are you showing onion oil benefits in your ad , when you ate not giving onion oil in your product. I bought this for redensyl content ...but not sure about the percentage of it bein added. Secondly it only has onion extracts, which am sure not is effective.Switchin back to my conventional method of makin onion juice and applyin on scalp"
5,I used it only one time so I cant say about hairfall control but I couldnt stop myself to mention about its amazing effect. It made my hair extremely soft and shiny which was visible properly. Smell was strong but not bothering. I think this is the best hair fall which I have used till date. My search ends over here I suppose. Just waiting to see its impact on arresting hairfall.
5,Nice one... My 2.5 yr old son likes to brush with this flavour- strawberry. Previously I used to use Chicco but switched to this one due to good reviews and lower price.I had used Mee Mee also but this ones ingredients are better for my childs health.
1,"My 2 year old child doesnt have cavity but started developing bad breaths the morning after, while using this toothpaste for a couple of weeks during day and night brushing sessions. I feel this toothpaste might actually cause cavity rather than keep it away, from my experience. I immediately shifted back to Pigeon toothpaste for night brushing and the bad breath stopped from the next day onward.  I had purchased it for its all natural properties. Mama Earth team needs to research more on the ingredients on this product. I use other Mama Earth products and they are decent. Not this toothpaste though."
5,"Berry flavoured blast that the kids just love!  And the best part is that its perfectly fine if  they swallow it too! Made with 100% safe ingredients, this should be the toothpaste you should introduce your kids to! Mamaearth Berry Blast toothpaste is 100% safe and toxin free. My kids love the Berry taste while brushing. This is one of the best flouride free tooth pastes available for kids that you should be buying right away!"
5,Well how much a 12 month old with 4 almost 5 teeth brushes. But this product is good to start eating or tasting rather by baby. that way it is natural and taste good. i applied bit on her teeth thn forgot where i kept it.Buy for your own satisfaction if baby is really small and if understands how to brush and spit or eat than go for it.
5,"Pros:1. Natural strawberry flavour.2. SLS  Fluoride free toothpaste.3. 100% vegan.4. Claims to be plastic responsible.Cons:None that I found in the last few months.Verdict:Recommended toothpaste for kids above 1 year. My son likes it. The strawberry flavour is quite noticeable when youre brushing your kid. Wish if this was available as single pack instead of minimum qty as 2 since it takes quite a lot of time to finish the tube when you are taking only a peanut size or less portion for brushingIf you think my review was helpful, dont forget to click the helpful link below the review."
5,Very good product. Reliable and very good quality. My child (4YO) loves it. Earlier he was using Chicco toothpaste. Now loving it. Mamaearth is at par with Chicco in quality yet way economical.
4,"I bought it for my 2 years baby. Its mentioned that even if the child gulps it, then also it wont be harmful. Although I am trying my best to teach my little one how to spit out while brushing.I am happy with the product."
5,"The important aspect i considered while placing the order was""its safe, even if swallowed"".Small kids love to brush with it.Its the tooth paste with all safe ingredients."
5,The taste is a bit like mild flavoured bubble gum.... My 2 yr old likes it. Plus it claims to be safe for kids since it is all natural without flouride and SLS (chemical used for foaming).Wish that the quantity was a bit more
5,It is completely natural so I feel safe for my son. Before I used dento shine tooth paste. But this has changed a lott. Just go for it . It safe.
5,Nice one... My 2.5 yr old son likes to brush with this flavour- strawberry. Previously I used to use Chicco but switched to this one due to good reviews and lower price.I had used Mee Mee also but this ones ingredients are better for my childs health.
1,"My 2 year old child doesnt have cavity but started developing bad breaths the morning after, while using this toothpaste for a couple of weeks during day and night brushing sessions. I feel this toothpaste might actually cause cavity rather than keep it away, from my experience. I immediately shifted back to Pigeon toothpaste for night brushing and the bad breath stopped from the next day onward.  I had purchased it for its all natural properties. Mama Earth team needs to research more on the ingredients on this product. I use other Mama Earth products and they are decent. Not this toothpaste though."
5,"Berry flavoured blast that the kids just love!  And the best part is that its perfectly fine if  they swallow it too! Made with 100% safe ingredients, this should be the toothpaste you should introduce your kids to! Mamaearth Berry Blast toothpaste is 100% safe and toxin free. My kids love the Berry taste while brushing. This is one of the best flouride free tooth pastes available for kids that you should be buying right away!"
5,Well how much a 12 month old with 4 almost 5 teeth brushes. But this product is good to start eating or tasting rather by baby. that way it is natural and taste good. i applied bit on her teeth thn forgot where i kept it.Buy for your own satisfaction if baby is really small and if understands how to brush and spit or eat than go for it.
5,"Pros:1. Natural strawberry flavour.2. SLS  Fluoride free toothpaste.3. 100% vegan.4. Claims to be plastic responsible.Cons:None that I found in the last few months.Verdict:Recommended toothpaste for kids above 1 year. My son likes it. The strawberry flavour is quite noticeable when youre brushing your kid. Wish if this was available as single pack instead of minimum qty as 2 since it takes quite a lot of time to finish the tube when you are taking only a peanut size or less portion for brushingIf you think my review was helpful, dont forget to click the helpful link below the review."
5,Very good product. Reliable and very good quality. My child (4YO) loves it. Earlier he was using Chicco toothpaste. Now loving it. Mamaearth is at par with Chicco in quality yet way economical.
4,"I bought it for my 2 years baby. Its mentioned that even if the child gulps it, then also it wont be harmful. Although I am trying my best to teach my little one how to spit out while brushing.I am happy with the product."
5,"The important aspect i considered while placing the order was""its safe, even if swallowed"".Small kids love to brush with it.Its the tooth paste with all safe ingredients."
5,The taste is a bit like mild flavoured bubble gum.... My 2 yr old likes it. Plus it claims to be safe for kids since it is all natural without flouride and SLS (chemical used for foaming).Wish that the quantity was a bit more
5,It is completely natural so I feel safe for my son. Before I used dento shine tooth paste. But this has changed a lott. Just go for it . It safe.
5,Nice one... My 2.5 yr old son likes to brush with this flavour- strawberry. Previously I used to use Chicco but switched to this one due to good reviews and lower price.I had used Mee Mee also but this ones ingredients are better for my childs health.
1,"My 2 year old child doesnt have cavity but started developing bad breaths the morning after, while using this toothpaste for a couple of weeks during day and night brushing sessions. I feel this toothpaste might actually cause cavity rather than keep it away, from my experience. I immediately shifted back to Pigeon toothpaste for night brushing and the bad breath stopped from the next day onward.  I had purchased it for its all natural properties. Mama Earth team needs to research more on the ingredients on this product. I use other Mama Earth products and they are decent. Not this toothpaste though."
5,"Berry flavoured blast that the kids just love!  And the best part is that its perfectly fine if  they swallow it too! Made with 100% safe ingredients, this should be the toothpaste you should introduce your kids to! Mamaearth Berry Blast toothpaste is 100% safe and toxin free. My kids love the Berry taste while brushing. This is one of the best flouride free tooth pastes available for kids that you should be buying right away!"
5,Well how much a 12 month old with 4 almost 5 teeth brushes. But this product is good to start eating or tasting rather by baby. that way it is natural and taste good. i applied bit on her teeth thn forgot where i kept it.Buy for your own satisfaction if baby is really small and if understands how to brush and spit or eat than go for it.
5,"Pros:1. Natural strawberry flavour.2. SLS  Fluoride free toothpaste.3. 100% vegan.4. Claims to be plastic responsible.Cons:None that I found in the last few months.Verdict:Recommended toothpaste for kids above 1 year. My son likes it. The strawberry flavour is quite noticeable when youre brushing your kid. Wish if this was available as single pack instead of minimum qty as 2 since it takes quite a lot of time to finish the tube when you are taking only a peanut size or less portion for brushingIf you think my review was helpful, dont forget to click the helpful link below the review."
5,Very good product. Reliable and very good quality. My child (4YO) loves it. Earlier he was using Chicco toothpaste. Now loving it. Mamaearth is at par with Chicco in quality yet way economical.
4,"I bought it for my 2 years baby. Its mentioned that even if the child gulps it, then also it wont be harmful. Although I am trying my best to teach my little one how to spit out while brushing.I am happy with the product."
5,"The important aspect i considered while placing the order was""its safe, even if swallowed"".Small kids love to brush with it.Its the tooth paste with all safe ingredients."
5,The taste is a bit like mild flavoured bubble gum.... My 2 yr old likes it. Plus it claims to be safe for kids since it is all natural without flouride and SLS (chemical used for foaming).Wish that the quantity was a bit more
5,It is completely natural so I feel safe for my son. Before I used dento shine tooth paste. But this has changed a lott. Just go for it . It safe.
5,Nice one... My 2.5 yr old son likes to brush with this flavour- strawberry. Previously I used to use Chicco but switched to this one due to good reviews and lower price.I had used Mee Mee also but this ones ingredients are better for my childs health.
1,"My 2 year old child doesnt have cavity but started developing bad breaths the morning after, while using this toothpaste for a couple of weeks during day and night brushing sessions. I feel this toothpaste might actually cause cavity rather than keep it away, from my experience. I immediately shifted back to Pigeon toothpaste for night brushing and the bad breath stopped from the next day onward.  I had purchased it for its all natural properties. Mama Earth team needs to research more on the ingredients on this product. I use other Mama Earth products and they are decent. Not this toothpaste though."
5,"Berry flavoured blast that the kids just love!  And the best part is that its perfectly fine if  they swallow it too! Made with 100% safe ingredients, this should be the toothpaste you should introduce your kids to! Mamaearth Berry Blast toothpaste is 100% safe and toxin free. My kids love the Berry taste while brushing. This is one of the best flouride free tooth pastes available for kids that you should be buying right away!"
5,Well how much a 12 month old with 4 almost 5 teeth brushes. But this product is good to start eating or tasting rather by baby. that way it is natural and taste good. i applied bit on her teeth thn forgot where i kept it.Buy for your own satisfaction if baby is really small and if understands how to brush and spit or eat than go for it.
5,"Pros:1. Natural strawberry flavour.2. SLS  Fluoride free toothpaste.3. 100% vegan.4. Claims to be plastic responsible.Cons:None that I found in the last few months.Verdict:Recommended toothpaste for kids above 1 year. My son likes it. The strawberry flavour is quite noticeable when youre brushing your kid. Wish if this was available as single pack instead of minimum qty as 2 since it takes quite a lot of time to finish the tube when you are taking only a peanut size or less portion for brushingIf you think my review was helpful, dont forget to click the helpful link below the review."
5,Very good product. Reliable and very good quality. My child (4YO) loves it. Earlier he was using Chicco toothpaste. Now loving it. Mamaearth is at par with Chicco in quality yet way economical.
4,"I bought it for my 2 years baby. Its mentioned that even if the child gulps it, then also it wont be harmful. Although I am trying my best to teach my little one how to spit out while brushing.I am happy with the product."
5,"The important aspect i considered while placing the order was""its safe, even if swallowed"".Small kids love to brush with it.Its the tooth paste with all safe ingredients."
5,The taste is a bit like mild flavoured bubble gum.... My 2 yr old likes it. Plus it claims to be safe for kids since it is all natural without flouride and SLS (chemical used for foaming).Wish that the quantity was a bit more
5,It is completely natural so I feel safe for my son. Before I used dento shine tooth paste. But this has changed a lott. Just go for it . It safe.
5,I bought this because I was super impressed with the ingredients list. This one says its a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face. I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. I really love the fragrance of this face wash.
1,Its thick.It has beads and I dont know why they want me to scrub my face off everyday !!!It doesnt foam like a facewash.It smells like pulpy orange while applying and then smells a bit like turmeric after washing off.My face looked bright after using it but not as bright as my previous facewashes.Made my skin dry. It was annoying since my skin was already dry without it and it made it worse !It is definitely not worth the money ( I got it for 175rs in a sale.  Still isnt worth it )I dont think it worked on my tan. I still dont see any changes in skin.Its disappointing !!!!
5,"So this is one such facewash free from parabens and sulfate, hence made me order it. Talking about the natural ingredients like turmeric and liquorice extract attracted it more. The consistency of this facewash is bit thick like a scrub making it unusual for others but I loved it as it makes your skin clean and radiant. Best for people who wants to get rid of tanning, discoloration and pigmentation."
5," It has a pleasant smell. You dont need to apply in large quantity. Even though it has walnut beads, but its not like an intense scrubber, you can use daily. Apply some face moisturizer after this. Consistency is not liquidy. (see the image). KEY INGREDIENTS:∙ Stearic Acid:It has cleansing properties. It helps to remove dirt, sweat and excess sebum from the skin.∙ Sodium Cocoyl Glycinate:It produces a natural creamy-feeling lather. Used for cleansing and skin-softening.∙ Glycerin:Used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations.∙ Palmitic Acid:Used for softening or soothing the skin.  It is the most common saturated fatty acid found in animals, plants and microorganism.∙ Niacinamide:A form of vitamin B3. It helps manage acne, rosacea, pigmentation issues, and wrinkles. It also has skin lightening compound.∙ Carrot Seed Oil:Rich in beta carotene, vitamins A and E and pro-vitamin A.It helps to heal dry, chapped and cracked skin, balances the moisture in the skin. It may even help to reduce wrinkles.∙ Tocopheryl Tocopherol Acetate (Vitamin E):Known for its antioxidant properties.∙ Turmeric Powder:Haldi. It contains antioxidants and anti-inflammatory components.∙Liquorice Extract:Yashtimadhu, one of the most commonly used Ayurvedic herbs.It is extracted from Licorice roots. It contains powerful antioxidants and anti-inflammatory properties. Provides natural sun protection; helps to regulate the skins oil production and much more.∙ Orange Oil:Reduces dark spots and blemishes, controls excess oil formed on the skin, has antiseptic healing properties, boosts circulation in the skin, and more.∙ Ylang Ylang Oil:Known as the Cananga tree, a tropical tree that is native from India. Promote relaxation, kill bacteria, lower blood pressure, and increase sexual desire.∙ Patchouli Oil:It can deodorize body odours, soothe inflammation, fight water retention, break up cellulite, facilitate the faster healing of wounds by stimulating the growth of new skin, moisturize rough and chapped skin, and reduce the appearance of blemishes, cuts, bruises and scars. I hope this review and images were helpful. "
5,"Had tried this product majorly because of the name and ingredients that it has. For the first time a company is able to get the product that is based on our ancient secret recipes of our Dadi Nani... a person like me who has super dry skin, this is the perfect product for me as it hydrates my skin thoroughly and gives an instant freshness like the way ubtan gives. Very good for my super dry  super sensitive skin. Loved this product. Kudos mamaearth for this amazing thought behind this product ."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty...very disappointed."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty, it was not even packed..very disappointed."
5,Ubtan Facewash- made from Turmeric and Liqurice Extract. Was excited to use as heard first time about facewash of Ubtan. Helps in removing dead cells and gives a glow on skin. Very helpful product to repair sun damage and tan and to protect your skin from tanning.
1,Horrible product...i have normal skin which tends to dry in winters...i ordered it in march when i enjoy healthier skin...but i was in search of herbal product and decided to order this...and i regret...my skin has rashes and that happens only after 3daz of use....i could infer that the rashes were becoz of this facewash as all other skincare products were same....for all who are reading this review...plz dont waste ur money....and get trapped by the marketing gimmick
5,"Mamaearth ubTAN Natural Face Wash is one the best product of Mama Earthand it  Suits to every  skin types, it  helps in removing  all signs of tan. Liquorice helps repair the sun damage caused by exposure to the harsh rays of the sun. Turmeric light the skin tone and  improves the skin complection.Its one of the best face wash. Smells also very nice."
5,I bought this because I was super impressed with the ingredients list. This one says its a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face. I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. I really love the fragrance of this face wash.
1,Its thick.It has beads and I dont know why they want me to scrub my face off everyday !!!It doesnt foam like a facewash.It smells like pulpy orange while applying and then smells a bit like turmeric after washing off.My face looked bright after using it but not as bright as my previous facewashes.Made my skin dry. It was annoying since my skin was already dry without it and it made it worse !It is definitely not worth the money ( I got it for 175rs in a sale.  Still isnt worth it )I dont think it worked on my tan. I still dont see any changes in skin.Its disappointing !!!!
5,"So this is one such facewash free from parabens and sulfate, hence made me order it. Talking about the natural ingredients like turmeric and liquorice extract attracted it more. The consistency of this facewash is bit thick like a scrub making it unusual for others but I loved it as it makes your skin clean and radiant. Best for people who wants to get rid of tanning, discoloration and pigmentation."
5," It has a pleasant smell. You dont need to apply in large quantity. Even though it has walnut beads, but its not like an intense scrubber, you can use daily. Apply some face moisturizer after this. Consistency is not liquidy. (see the image). KEY INGREDIENTS:∙ Stearic Acid:It has cleansing properties. It helps to remove dirt, sweat and excess sebum from the skin.∙ Sodium Cocoyl Glycinate:It produces a natural creamy-feeling lather. Used for cleansing and skin-softening.∙ Glycerin:Used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations.∙ Palmitic Acid:Used for softening or soothing the skin.  It is the most common saturated fatty acid found in animals, plants and microorganism.∙ Niacinamide:A form of vitamin B3. It helps manage acne, rosacea, pigmentation issues, and wrinkles. It also has skin lightening compound.∙ Carrot Seed Oil:Rich in beta carotene, vitamins A and E and pro-vitamin A.It helps to heal dry, chapped and cracked skin, balances the moisture in the skin. It may even help to reduce wrinkles.∙ Tocopheryl Tocopherol Acetate (Vitamin E):Known for its antioxidant properties.∙ Turmeric Powder:Haldi. It contains antioxidants and anti-inflammatory components.∙Liquorice Extract:Yashtimadhu, one of the most commonly used Ayurvedic herbs.It is extracted from Licorice roots. It contains powerful antioxidants and anti-inflammatory properties. Provides natural sun protection; helps to regulate the skins oil production and much more.∙ Orange Oil:Reduces dark spots and blemishes, controls excess oil formed on the skin, has antiseptic healing properties, boosts circulation in the skin, and more.∙ Ylang Ylang Oil:Known as the Cananga tree, a tropical tree that is native from India. Promote relaxation, kill bacteria, lower blood pressure, and increase sexual desire.∙ Patchouli Oil:It can deodorize body odours, soothe inflammation, fight water retention, break up cellulite, facilitate the faster healing of wounds by stimulating the growth of new skin, moisturize rough and chapped skin, and reduce the appearance of blemishes, cuts, bruises and scars. I hope this review and images were helpful. "
5,"Had tried this product majorly because of the name and ingredients that it has. For the first time a company is able to get the product that is based on our ancient secret recipes of our Dadi Nani... a person like me who has super dry skin, this is the perfect product for me as it hydrates my skin thoroughly and gives an instant freshness like the way ubtan gives. Very good for my super dry  super sensitive skin. Loved this product. Kudos mamaearth for this amazing thought behind this product ."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty...very disappointed."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty, it was not even packed..very disappointed."
5,Ubtan Facewash- made from Turmeric and Liqurice Extract. Was excited to use as heard first time about facewash of Ubtan. Helps in removing dead cells and gives a glow on skin. Very helpful product to repair sun damage and tan and to protect your skin from tanning.
1,Horrible product...i have normal skin which tends to dry in winters...i ordered it in march when i enjoy healthier skin...but i was in search of herbal product and decided to order this...and i regret...my skin has rashes and that happens only after 3daz of use....i could infer that the rashes were becoz of this facewash as all other skincare products were same....for all who are reading this review...plz dont waste ur money....and get trapped by the marketing gimmick
5,"Mamaearth ubTAN Natural Face Wash is one the best product of Mama Earthand it  Suits to every  skin types, it  helps in removing  all signs of tan. Liquorice helps repair the sun damage caused by exposure to the harsh rays of the sun. Turmeric light the skin tone and  improves the skin complection.Its one of the best face wash. Smells also very nice."
5,I bought this because I was super impressed with the ingredients list. This one says its a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face. I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. I really love the fragrance of this face wash.
1,Its thick.It has beads and I dont know why they want me to scrub my face off everyday !!!It doesnt foam like a facewash.It smells like pulpy orange while applying and then smells a bit like turmeric after washing off.My face looked bright after using it but not as bright as my previous facewashes.Made my skin dry. It was annoying since my skin was already dry without it and it made it worse !It is definitely not worth the money ( I got it for 175rs in a sale.  Still isnt worth it )I dont think it worked on my tan. I still dont see any changes in skin.Its disappointing !!!!
5,"So this is one such facewash free from parabens and sulfate, hence made me order it. Talking about the natural ingredients like turmeric and liquorice extract attracted it more. The consistency of this facewash is bit thick like a scrub making it unusual for others but I loved it as it makes your skin clean and radiant. Best for people who wants to get rid of tanning, discoloration and pigmentation."
5," It has a pleasant smell. You dont need to apply in large quantity. Even though it has walnut beads, but its not like an intense scrubber, you can use daily. Apply some face moisturizer after this. Consistency is not liquidy. (see the image). KEY INGREDIENTS:∙ Stearic Acid:It has cleansing properties. It helps to remove dirt, sweat and excess sebum from the skin.∙ Sodium Cocoyl Glycinate:It produces a natural creamy-feeling lather. Used for cleansing and skin-softening.∙ Glycerin:Used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations.∙ Palmitic Acid:Used for softening or soothing the skin.  It is the most common saturated fatty acid found in animals, plants and microorganism.∙ Niacinamide:A form of vitamin B3. It helps manage acne, rosacea, pigmentation issues, and wrinkles. It also has skin lightening compound.∙ Carrot Seed Oil:Rich in beta carotene, vitamins A and E and pro-vitamin A.It helps to heal dry, chapped and cracked skin, balances the moisture in the skin. It may even help to reduce wrinkles.∙ Tocopheryl Tocopherol Acetate (Vitamin E):Known for its antioxidant properties.∙ Turmeric Powder:Haldi. It contains antioxidants and anti-inflammatory components.∙Liquorice Extract:Yashtimadhu, one of the most commonly used Ayurvedic herbs.It is extracted from Licorice roots. It contains powerful antioxidants and anti-inflammatory properties. Provides natural sun protection; helps to regulate the skins oil production and much more.∙ Orange Oil:Reduces dark spots and blemishes, controls excess oil formed on the skin, has antiseptic healing properties, boosts circulation in the skin, and more.∙ Ylang Ylang Oil:Known as the Cananga tree, a tropical tree that is native from India. Promote relaxation, kill bacteria, lower blood pressure, and increase sexual desire.∙ Patchouli Oil:It can deodorize body odours, soothe inflammation, fight water retention, break up cellulite, facilitate the faster healing of wounds by stimulating the growth of new skin, moisturize rough and chapped skin, and reduce the appearance of blemishes, cuts, bruises and scars. I hope this review and images were helpful. "
5,"Had tried this product majorly because of the name and ingredients that it has. For the first time a company is able to get the product that is based on our ancient secret recipes of our Dadi Nani... a person like me who has super dry skin, this is the perfect product for me as it hydrates my skin thoroughly and gives an instant freshness like the way ubtan gives. Very good for my super dry  super sensitive skin. Loved this product. Kudos mamaearth for this amazing thought behind this product ."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty...very disappointed."
1,"After reading so many great reviews, was eagerly waiting for this face wash but when I opened it the tube was half empty, it was not even packed..very disappointed."
5,Ubtan Facewash- made from Turmeric and Liqurice Extract. Was excited to use as heard first time about facewash of Ubtan. Helps in removing dead cells and gives a glow on skin. Very helpful product to repair sun damage and tan and to protect your skin from tanning.
1,Horrible product...i have normal skin which tends to dry in winters...i ordered it in march when i enjoy healthier skin...but i was in search of herbal product and decided to order this...and i regret...my skin has rashes and that happens only after 3daz of use....i could infer that the rashes were becoz of this facewash as all other skincare products were same....for all who are reading this review...plz dont waste ur money....and get trapped by the marketing gimmick
5,"Mamaearth ubTAN Natural Face Wash is one the best product of Mama Earthand it  Suits to every  skin types, it  helps in removing  all signs of tan. Liquorice helps repair the sun damage caused by exposure to the harsh rays of the sun. Turmeric light the skin tone and  improves the skin complection.Its one of the best face wash. Smells also very nice."
5,I bought this because I was super impressed with the ingredients list. This one says its a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face. I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. I really love the fragrance of this face wash.
1,Its thick.It has beads and I dont know why they want me to scrub my face off everyday !!!It doesnt foam like a facewash.It smells like pulpy orange while applying and then smells a bit like turmeric after washing off.My face looked bright after using it but not as bright as my previous facewashes.Made my skin dry. It was annoying since my skin was already dry without it and it made it worse !It is definitely not worth the money ( I got it for 175rs in a sale.  Still isnt worth it )I dont think it worked on my tan. I still dont see any changes in skin.Its disappointing !!!!
5,"So this is one such facewash free from parabens and sulfate, hence made me order it. Talking about the natural ingredients like turmeric and liquorice extract attracted it more. The consistency of this facewash is bit thick like a scrub making it unusual for others but I loved it as it makes your skin clean and radiant. Best for people who wants to get rid of tanning, discoloration and pigmentation."
